"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Pierre-Luc Dubois","Capitals","-51.85"," - ","C","-","79.5","20.4","39.3","59.7","5.9","75.8","14.1","6.4","7.6","14","157.9","17.5","527.2","51.8","77.6"
"Brad Marchand","Panthers","-53.06"," - ","LW","-","74","22.1","31","53.1","0.9","63.2","15.5","5.7","12.3","18","176","17","12.7","28.6","82.6"
"Mike Matheson","Canadiens","-53.58"," - ","D","-","78.7","7.3","30.8","38.1","-8.7","45.9","4.8","1.9","12.4","14.3","144.2","22","0","142.7","53.8"
"Nick Schmaltz","Utah","-53.96"," - ","RW","-","73.5","19.8","38.1","57.8","-5.6","13","11.2","8.3","11.9","20.2","157.5","18.8","143.1","37.7","13.4"
"Will Smith","Sharks","-55.09"," - ","RW","-","76.7","23","34.4","57.4","-4.8","18.6","16.6","6.4","8.9","15.3","161.8","19.5","82.8","20.4","16.6"
"Owen Tippett","Flyers","-55.11"," - ","RW","-","77.3","23.2","24.1","47.3","-5.2","14.3","20.2","3","5.3","8.3","222","16","12.7","56.9","124"
"Neal Pionk","Jets","-55.94"," - ","D","-","77.5","8.8","28.8","37.6","11.7","52.3","6.2","2.6","6.9","9.5","139.8","22","0","114.2","164.7"
"Jeff Skinner","Sharks","-56.94"," - ","LW","-","76.3","24.5","24.5","49.1","-1.4","32.5","20.1","4.5","5.2","9.7","204.3","16","59.4","19.9","38"
"Zayne Parekh","Flames","-58.83"," - ","D","-","71.1","11.1","23","34.1","0","56.4","7.8","3.3","11.3","14.6","142.2","20.5","0","71.1","71.1"
"Troy Terry","Ducks","-61.58"," - ","RW","-","74.5","20.6","34","54.6","-2.3","21.2","16.5","4.1","7.5","11.6","179.2","18.6","8.1","27.1","10.9"
"Anders Lee","Islanders","-63.19"," - ","LW","-","80.3","25.2","21.3","46.5","0.8","46.9","20.2","5","3.3","8.3","208.8","16.4","16.5","44.7","135"
"Frank Vatrano","Ducks","-63.49"," - ","LW","-","81.3","23.8","20.7","44.5","-7.3","71.7","16.6","5.9","3.6","9.5","222.3","16","11","64.9","135.6"
"Tomas Hertl","Knights","-64.96"," - ","C","-","72","25","28.1","53.1","-4.5","24.2","14.8","9.8","8.8","18.6","158","17.1","582.6","45.1","83.4"
"Cutter Gauthier","Ducks","-65.32"," - ","LW","-","79.9","21.3","26.6","47.9","2.4","19.5","17.1","4.3","5.3","9.6","205.1","15.6","22.3","54.2","72.3"
"Filip Hronek","Canucks","-66.8"," - ","D","-","71","6","34.9","40.9","12.4","40.3","4.6","1.4","9","10.4","116.9","23.5","0.5","78.4","101.1"
"Marco Rossi","Wild","-67.06"," - ","C","-","82","23.6","32.8","56.4","0.1","35.8","18.5","5.1","7.9","13","154","18.3","425.7","40.8","53.3"
"Morgan Geekie","Bruins","-67.09"," - ","LW","-","73.8","28","26.7","54.6","3.5","28.8","23.9","4.1","6","10.1","156.3","18.6","277.2","42","127.4"
"Dylan Cozens","Senators","-67.41"," - ","C","-","80.3","19.2","31.2","50.4","-5.1","54.4","13.9","4","8.3","12.3","194.5","17","558.4","35.7","181.7"
"Brock Faber","Wild","-69.52"," - ","D","-","80","9.3","27","36.3","-1.2","24.4","6.9","2.4","10","12.4","130.1","25.5","0","131.8","47.1"
"Jackson Blake","Hurricanes","-70.34"," - ","RW","-","81","22.1","26.9","49","5","30.4","15.6","6.5","6.3","12.8","184.3","17.8","19.2","38.4","24.3"
"Sam Bennett","Panthers","-70.7"," - ","C","-","70","21.6","23.9","45.5","-0.6","86.1","15.8","5.8","5.1","10.9","207.9","17.4","423","41.3","152.7"
"Mason McTavish","Ducks","-72.54"," - ","C","-","73.3","22.1","29.7","51.8","-5.9","59","15.7","6.1","6.1","12.2","176.8","17.9","481.4","35.5","72.3"
"Jackson Lacombe","Ducks","-72.93"," - ","D","-","73","10.3","30.8","41.1","-5.6","29.9","9","1.3","6.6","7.9","115.2","24.1","0","146.2","69.4"
"Aaron Ekblad","Panthers","-74.32"," - ","D","-","66.3","6","27.1","33.1","13.2","61.8","3.8","2","9.6","11.6","140.1","22.3","0","72.4","97.3"
"Claude Giroux","Senators","-75.1"," - ","RW","-","80","18.9","36.1","55","-3.6","21.6","14.4","3.9","14","17.9","152.9","17.8","591.1","32.2","53.7"
"Mark Stone","Knights","-75.29"," - ","RW","-","60.5","18.2","40.9","59.1","6.9","16.4","12.8","4.5","14.7","19.2","127.3","19.3","2.6","38.6","33.8"
"Justin Faulk","Blues","-80.1"," - ","D","-","74","4.7","30.4","35.1","-5.9","34.1","3.5","1.2","9","10.2","141.4","22.5","0","109.7","86.9"
"Michael Bunting","Predators","-80.65"," - ","LW","-","79.5","21","27.3","48.3","-6.3","75.3","11.4","9.6","8.5","18.1","172.9","16.5","5.2","20.5","69.6"
"Matt Coronato","Flames","-82.65"," - ","RW","-","76","22.1","23","45.2","-1.9","23.6","17.3","4.8","10.2","15","186.9","18.4","60.6","35.5","34.7"
"Alexander Nikishin","Hurricanes","-82.77"," - ","D","-","78.7","8.9","28.8","37.7","1.7","41.3","6.6","2.2","7.2","9.4","115.1","17.6","0","97.2","105.6"
"Colton Parayko","Blues","-83.81"," - ","D","-","76.3","12.6","20.4","33","4.1","17.7","11.2","0.5","0.7","1.2","143.5","23.8","0","177.4","109.3"
"Cam Fowler","Blues","-84.4"," - ","D","-","76.8","7.6","32.1","39.8","6.8","16.6","5.4","2.3","9.6","11.9","98.9","21.7","0","94.9","19.7"
"Ryan O&#x27;Reilly","Predators","-85.83"," - ","C","-","73","21.2","31.5","52.6","-6.5","20.1","12.1","8.9","9","17.9","147.7","19.2","709.7","56.3","20.7"
"Kent Johnson","Blue Jackets","-86.44"," - ","RW","-","73.5","22.7","32.5","55.3","-2.1","18.6","18.1","3.9","9.2","13.1","140.8","18","13.5","32.9","10"
"Sean Durzi","Utah","-87.51"," - ","D","-","75","8.9","26.1","35","-0.7","53.1","6.7","2.3","10.1","12.4","116.5","20.5","0","113.8","46.5"
"Alexis Lafrenière","Rangers","-90.58"," - ","LW","-","81","23.2","27.7","51","-2.1","38.2","20.8","2.5","2.5","5","172.2","17.1","17.2","25.2","110"
"Anze Kopitar","Kings","-90.7"," - ","C","-","81","16.7","42.4","59.1","6.6","9.1","12.2","4.3","14.8","19.1","113.9","18.2","818.1","53.1","37"
"Jason Zucker","Sabres","-91"," - ","LW","-","73.3","21","27","48","-0.8","65.8","13.1","7.9","8.3","16.2","163.9","16","27.4","22.9","106.6"
"Travis Sanheim","Flyers","-92.75"," - ","D","-","81","8.7","25.6","34.4","-10.7","44","8.2","0","2.9","2.9","140.9","24.5","0","159.9","85.9"
"Zeev Buium","Wild","-93.11"," - ","D","-","77.3","6.7","28.5","35.2","3.4","43.5","5.6","1.1","8.6","9.7","118","17","0","24.2","72.6"
"Jake DeBrusk","Canucks","-93.34"," - ","LW","-","75.8","24.2","20.3","44.5","-0.7","17.1","15.1","8.5","6.3","14.8","172.8","16.8","8.2","41.7","94.7"
"Warren Foegele","Kings","-95.87"," - ","LW","-","78.3","22.2","21.9","44","10.8","34.3","20.8","0.9","0.5","1.4","199.6","16.2","15.9","35.3","88.6"
"Connor McMichael","Capitals","-98.48"," - ","LW","-","78.2","22.3","28","50.3","1.5","42","18.7","3.1","5.9","9","157.2","16.8","178.2","36.5","40.6"
"Blake Coleman","Flames","-99.05"," - ","LW","-","80.8","20.8","23.8","44.5","3.4","53.1","15.6","3","0.5","3.5","196.4","17.4","33.2","58.8","151.4"
"Ivan Demidov","Canadiens","-99.06"," - ","RW","-","72","20.9","30.4","51.3","-3.1","24.3","16.7","4.2","10.1","14.3","146","16.9","0","24.3","73"
"Owen Power","Sabres","-100.02"," - ","D","-","78","5.9","29.4","35.3","-1","20.4","5.4","0.5","5.6","6.1","122.1","21.3","0","99.3","30.9"
"William Karlsson","Knights","-100.32"," - ","C","-","73","18.7","30","48.7","8.9","12.2","13.9","2.9","7.7","10.6","162.6","17","555.6","46.1","36.9"
"Oliver Ekman-Larsson","Maple Leafs","-101.37"," - ","D","-","78.7","5.9","26.2","32.1","6.6","60.7","4.4","1.5","5.5","7","128.6","21","0","79.5","109.6"
"Leo Carlsson","Ducks","-102.16"," - ","C","-","73.4","20.7","33.1","53.8","-0.6","17.1","15","4.9","5.8","10.7","138.5","17.9","298.5","36.4","29.7"
"Jamie Benn","Stars","-102.73"," - ","LW","-","81.5","17.9","32.8","50.7","3.8","50.9","12.9","4.4","10.9","15.3","145.2","14.3","357.7","41.5","102.5"
"Anthony Cirelli","Lightning","-103.96"," - ","C","-","78.3","22.9","28.5","51.5","9.4","33.6","17","2.8","2.6","5.4","148.5","18.6","574.1","64","41.3"
"Darren Raddysh","Lightning","-105.17"," - ","D","-","77.5","6.1","29.3","35.4","3.4","17.3","4.5","1.6","6.5","8.1","108.6","18.3","0","81","56.8"
"Dmitri Voronkov","Blue Jackets","-106.31"," - ","LW","-","74","22.9","22.6","45.5","4.1","58.7","15","7.8","2.8","10.6","163.5","16.8","147.9","51.8","82.9"
"Artturi Lehkonen","Avalanche","-106.75"," - ","LW","-","69","24.7","22.2","46.8","12.6","29.2","19.3","4.6","6.3","10.9","147.4","19.2","7.8","35.9","53.8"
"Jaccob Slavin","Hurricanes","-108.15"," - ","D","-","79","6.4","25","31.4","18.7","8.3","5.8","0","0","0","131.9","22.5","0","127.6","35.9"
"Stefan Noesen","Devils","-108.49"," - ","RW","-","79","20.4","24","44.3","1.2","43.8","11.5","8.8","6.9","15.7","161.8","15.9","51.1","27.3","148.6"
"Logan Stankoven","Hurricanes","-108.74"," - ","RW","-","74.5","15.6","28","43.6","2.5","17.3","13.3","2.3","6.3","8.6","190.8","15.9","78.7","33.8","51.5"
"Jake Walman","Oilers","-108.78"," - ","D","-","63.7","8.4","19.8","28.3","10.6","40.7","8.1","0.3","5","5.3","133.7","20.2","0","132.8","47.1"
"William Eklund","Sharks","-109.32"," - ","LW","-","76.1","16.5","35.3","51.8","-6.8","28.9","9.3","6.6","9.1","15.7","141.1","19.5","34.1","54.5","48"
"Hampus Lindholm","Bruins","-109.86"," - ","D","-","70","6.4","25.7","32.1","6.2","48.4","5.6","0.8","7","7.8","116.5","22.6","0","84.1","48.4"
"Andrei Kuzmenko","Kings","-110.49"," - ","LW","-","73","19.8","31.3","51.1","9.9","14.2","12.6","7.2","10.3","17.5","122.3","17.4","1","22.2","18.9"
"Teuvo Teravainen","Blackhawks","-110.73"," - ","LW","-","75.8","17.5","34.6","52.1","-2.3","12","9.6","7.2","12","19.2","125.7","17.1","56.5","25.3","21.1"
"Brandt Clarke","Kings","-111.78"," - ","D","-","76.7","5","25","30","7","43.6","3.4","1.6","7.4","9","123.7","15.2","0","108.3","21.5"
"Luke Evangelista","Predators","-112.1"," - ","RW","-","73.7","16.9","27.1","44.1","0.2","24.4","14.7","2.2","6.3","8.5","183.9","16.8","0.4","20.2","34.6"
"Elias Lindholm","Bruins","-112.85"," - ","C","-","79.8","16.6","30.7","47.3","-2.6","16.9","11.1","4.5","9.5","14","158.4","17.9","746","65","98.3"
"Oliver Bjorkstrand","Lightning","-114.63"," - ","RW","-","80.5","18.5","26.7","45.2","6.7","14.2","13.1","5.4","8.9","14.3","155.7","14.1","6.9","24.9","63.1"
"Trevor Moore","Kings","-114.9"," - ","RW","-","73.3","20.5","22.5","43","5.8","18.3","17.7","1.5","3.5","5","181.9","16.9","7.4","33.2","74.9"
"Bowen Byram","Sabres","-115.38"," - ","D","-","77.5","9.9","26.6","36.4","3.8","52.3","9.3","0.4","2.3","2.7","95.7","22.7","0","111.9","91.5"
"Jared Spurgeon","Wild","-115.72"," - ","D","-","70","7.1","23.7","30.8","7.4","13.2","6.2","0.9","7.1","8","113.1","20.5","0","125.6","55.7"
"Michael Kesselring","Sabres","-117.37"," - ","D","-","76.5","6.5","24.8","31.3","3.6","83.5","5.9","0.6","1.5","2.1","125.6","17.5","0","66.9","98.9"
"Sean Couturier","Flyers","-117.5"," - ","C","-","75.5","17.9","29.5","47.4","-1.7","35.5","15.5","2.4","3.5","5.9","167.4","17.6","668","42.7","55.1"
"Matthew Schaefer","Islanders","-117.85"," - ","D","-","67.5","6.7","19.5","26.2","1.2","22","5.7","1","3.9","4.9","142.4","17","0","69.8","29.2"
"Mikael Backlund","Flames","-118.32"," - ","C","-","80.5","16","23.2","39.1","2.6","30.6","12.9","2.1","4.1","6.2","204.1","18.7","738.1","41.7","60.7"
"Mikael Granlund","Ducks","-119.33"," - ","C","-","77.8","14.5","37.5","52","-4.4","24.3","11.5","2.6","14","16.6","130.2","17.1","320.9","49.7","54.4"
"Kyle Palmieri","Islanders","-120"," - ","RW","-","72","22.6","21","43.5","-5.2","20.9","16.8","5.8","5.1","10.9","161.9","17.7","11.3","37","63.7"
"Gabriel Landeskog","Avalanche","-120.11"," - ","LW","-","72","17.6","30.2","47.8","7.2","52","12.4","4.8","7.6","12.4","144","17.2","57.6","52","142.8"
"Jordan Eberle","Kraken","-120.83"," - ","RW","-","73.5","17","31.2","48.2","0.9","23.3","13.3","3.7","7.6","11.3","148.7","17.5","24.5","29.6","30.1"
"Isaac Howard","Oilers","-122.53"," - ","LW","-","79","18.2","29.8","48","3.8","21.4","14.6","3.6","6","9.6","147.2","15","0","15.8","31.6"
"Matty Beniers","Kraken","-123.69"," - ","C","-","79.7","20.6","25.5","46.1","-0.5","14.3","15.1","5.5","5.5","11","148.3","19","548.7","62.1","54"
"Pavel Zacha","Bruins","-124.28"," - ","C","-","78","17.1","34.3","51.4","2.2","18.7","12.7","3.4","6.1","9.5","133.7","18.4","398","26.5","75.6"
"Mason Marchment","Kraken","-124.81"," - ","LW","-","70.3","20.6","26.4","47","2.5","59.3","15.7","4.9","4.7","9.6","144.5","15.4","9.3","28.6","91.2"
"K&#x27;Andre Miller","Hurricanes","-128.83"," - ","D","-","78.8","7.9","23.7","31.6","3.9","34.2","7.9","0","1.9","1.9","108.7","21.8","0","112.1","133.1"
"Dmitry Orlov","Sharks","-129.02"," - ","D","-","75","6.3","22.9","29.1","-4.5","27.8","5.7","0.2","3.4","3.6","123.6","20","0","64.4","113.6"
"Cole Perfetti","Jets","-130.17"," - ","RW","-","73.7","17.7","27.8","45.5","6.9","17.9","13.1","4.6","8.2","12.8","142.1","15.5","24.8","36.1","53.6"
"Tyson Foerster","Flyers","-131.18"," - ","LW","-","77.3","24.3","17.3","41.6","-2.6","45.2","18.5","5.3","3.1","8.4","158.7","18.3","0.4","55.5","90.2"
"Ivan Provorov","Blue Jackets","-131.56"," - ","D","-","81.3","6.2","25.7","31.9","-1.1","26.5","5.2","0.5","3.6","4.1","106","23.4","0","138.6","53.1"
"Sean Walker","Hurricanes","-131.81"," - ","D","-","77.7","7","15.1","22.1","-0.6","51.3","6.3","0","0.6","0.6","155","20","0","99.8","109.5"
"Alex Laferriere","Kings","-132.05"," - ","RW","-","79","18","20.1","38.1","4","34.1","16.6","1.3","2.7","4","193.4","16.8","26.8","40.6","133"
"Boone Jenner","Blue Jackets","-134.38"," - ","LW","-","65.7","21.1","18.8","39.9","-4.7","27.9","14.6","5.3","3","8.3","171.2","18","529.2","61.4","114.6"
"Will Cuylle","Rangers","-134.41"," - ","LW","-","79.6","20.7","21.8","42.5","3.5","57.7","17.4","1.9","1.2","3.1","167.5","16.7","8.1","48.6","337.6"
"Brayden Schenn","Blues","-134.65"," - ","C","-","77","17.8","29.9","47.7","-4.8","53.3","14.4","3.1","6.2","9.3","141.4","17.6","500.5","45.9","163.2"
"Shane Wright","Kraken","-135"," - ","C","-","77.7","22.5","25","47.5","2.1","17.7","15.9","6.5","6.5","13","119.4","15.3","388.9","68.5","51.8"
"Ryan Leonard","Capitals","-136.32"," - ","RW","-","77.1","21.5","17.2","38.7","2.9","94.3","17.2","4.3","3.4","7.7","170.6","15.9","5.9","47.1","170.6"
"Barrett Hayton","Utah","-136.78"," - ","C","-","76","17.6","24","41.6","-4.9","47.1","12.1","5.6","6.6","12.2","160.2","17.7","558.7","38.8","44"
"Filip Chytil","Canucks","-137.84"," - ","C","-","68","17.8","21.4","39.3","-0.7","26.7","16.1","1.8","4.6","6.4","179.8","16.7","318.1","24.3","29.4"
"Maxim Shabanov","Islanders","-138"," - ","RW","-","78.8","16.6","31.7","48.3","-1","13","13.3","3.3","6.3","9.6","134.9","15","0","32.9","17.4"
"Aliaksei Protas","Capitals","-139.61"," - ","RW","-","73.7","19.6","30.4","50.1","4.2","15.3","18","0","0.6","0.6","136","16.5","22.5","38.2","31.1"
"John Klingberg","Sharks","-139.84"," - ","D","-","71.8","7.2","22.7","29.9","-21.1","39.7","6.1","1.1","6.5","7.6","106.8","19","0","76.5","51.8"
"Olen Zellweger","Ducks","-140.62"," - ","D","-","69.2","7.2","15.4","22.7","-2.7","19.7","6.4","0.9","4.7","5.6","132.6","19","0","84.9","40.3"
"Mason Lohrei","Bruins","-141.39"," - ","D","-","74","5.7","25.1","30.8","-16.3","20.9","4.5","1.2","12","13.2","89.3","19.7","0","107.5","34.6"
"Esa Lindell","Stars","-142.55"," - ","D","-","80","5.7","20.8","26.5","28.6","13.1","5.2","0.5","0","0.5","110.4","22.2","0","165.7","67.1"
"Ivan Barbashev","Knights","-142.83"," - ","LW","-","78.8","21.1","28.4","49.4","9.3","26.8","18.7","2.4","1.7","4.1","120.7","16.5","28.6","39.1","146.6"
"Logan Mailloux","Blues","-143.5"," - ","D","-","70","7","22.3","29.3","-9.7","97","7","0","0","0","116.4","18.7","0","87.3","97"
"Josh Norris","Sabres","-143.68"," - ","C","-","66","24","17.8","41.8","-3.8","44.4","14.7","7.1","7.4","14.5","131.7","18.6","479.7","50.8","145.8"
"Shane Pinto","Senators","-144.43"," - ","C","-","77.2","20.9","20.3","41.2","2.5","25.5","15.8","3.3","2.3","5.6","156.7","17.4","472.2","56","76.1"
"Casey Mittelstadt","Bruins","-144.7"," - ","C","-","81","16.2","33.4","49.7","-6.5","26.6","12.8","3.2","9.2","12.4","119.4","17.3","459.1","29.2","28.9"
"Anton Lundell","Panthers","-145.34"," - ","C","-","76.7","16.2","25.3","41.4","7.5","41.2","13.3","1.4","4.3","5.7","161.8","16.7","482.2","46.2","81.2"
"Patrik Laine","Canadiens","-145.97"," - ","LW","-","57.9","20.4","19.5","39.9","-6.4","14.5","8.5","11.9","5.5","17.4","140.6","14.7","17.6","26.6","25.8"
"Danila Yurov","Wild","-146.07"," - ","RW","-","73","18.3","21.5","39.8","-1.2","15.9","14.6","3.7","4.3","8","163.6","14.8","0","35","44.1"
"Bobby McMann","Maple Leafs","-146.13"," - ","LW","-","72.9","21.1","14.4","35.5","7","43.6","18.5","2.6","2.1","4.7","179.2","14.9","5.9","24.7","155"
"Vladislav Gavrikov","Rangers","-147.82"," - ","D","-","77.8","5.7","20.9","26.5","17.1","30.6","5.5","0","0","0","111.6","23","0","125.4","57"
"Viktor Arvidsson","Bruins","-147.87"," - ","LW","-","70","17.7","18.6","36.3","-0.6","26.1","14.2","3.3","6.3","9.6","174.6","15","18","23","29"
"Vladimir Tarasenko","Wild","-147.87"," - ","RW","-","75","16.2","27.2","43.4","-2.4","8.3","14","2","7.5","9.5","147.6","15.9","1.3","36.4","72.7"
"Tyler Bertuzzi","Blackhawks","-148.73"," - ","LW","-","76.7","19.8","22.7","42.6","-10.2","48.1","12.5","7.4","6.5","13.9","137.2","16","13.1","32.2","71.7"
"Adam Larsson","Kraken","-149.24"," - ","D","-","82","6","18.7","24.7","17.1","39.9","5.8","0","0","0","117.8","21.2","0","144.1","137.9"
"Simon Edvinsson","Red Wings","-149.28"," - ","D","-","78.8","7.9","23.4","31.3","4.5","70.1","7.9","0","0","0","91.2","22.8","0","154.5","101.1"
"Jaden Schwartz","Kraken","-149.63"," - ","LW","-","71.3","20","19.4","39.4","-5.2","22.5","13.9","6","3.2","9.2","157.2","17","56.8","32.2","44"
"Morgan Frost","Flames","-150.9"," - ","C","-","77.7","15.2","26.4","41.7","-4.9","23.3","13","2.2","10.2","12.4","149.4","16.6","494.1","58.2","71"
"Chandler Stephenson","Kraken","-151.26"," - ","C","-","78.3","14.1","39.4","53.6","-2.6","24.9","9.6","2.8","13.1","15.9","89.5","19.1","684.5","47.5","44"
"Fabian Zetterlund","Senators","-153.14"," - ","LW","-","76.3","17.5","19.6","37","-4","19.2","12.8","4.4","4.4","8.8","169.3","16.8","24.6","61","119.5"
"Jalen Chatfield","Hurricanes","-155.51"," - ","D","-","76.3","8.3","13.3","21.5","18","47.6","8.1","0","0","0","119","19.7","0","73.8","75"
"Philip Broberg","Blues","-155.69"," - ","D","-","69.3","7","20.8","27.8","8.9","14","7","0","2.2","2.2","94.3","20.5","0","100.9","46.7"
"Phillip Danault","Kings","-155.97"," - ","C","-","79.8","12.5","33.1","45.7","6.1","29.7","10.5","2","4.9","6.9","138.1","17.7","625.9","57.3","80.6"
"Nick Paul","Lightning","-156.17"," - ","C","-","79.5","21.6","19.1","40.7","1.7","29.4","16.8","4.6","3.1","7.7","140.1","16.4","452.3","30.2","85.6"
"Matthew Savoie","Oilers","-156.4"," - ","RW","-","77.7","14","27.3","41.3","5.3","63.6","11.9","2.1","4.1","6.2","155.4","13.5","77.7","19.4","58.2"
"Zack Bolduc","Canadiens","-156.51"," - ","RW","-","76","21.3","18.6","39.9","4.4","39.1","14.2","4.4","4.4","8.8","140","14.3","5.3","42.5","106.3"
"Dawson Mercer","Devils","-157.51"," - ","C","-","82","21.3","18.3","39.6","-1.2","20.3","15.8","4.8","2.8","7.6","146","17.9","101.2","46","37.5"
"Evander Kane","Canucks","-158"," - ","LW","-","65","17.8","17.1","34.9","0","87","15.6","1.7","3.9","5.6","177.9","16.5","25.5","22.9","221.8"
"Brett Kulak","Oilers","-158.78"," - ","D","-","80","5.4","17.4","22.8","-1.6","27.5","5.4","0","0.3","0.3","126.7","20.2","0","110.7","61.7"
"Taylor Hall","Hurricanes","-159.26"," - ","LW","-","73","17.4","22.6","40","2.4","32.8","12.9","4.5","4.2","8.7","146.5","15.5","33.6","37","41.8"
"Matt Roy","Capitals","-160.14"," - ","D","-","74.8","4.7","19.8","24.5","17.1","29.7","4.5","0","0.3","0.3","108.8","20","0","123.1","126.3"
"Sam Malinski","Avalanche","-161.02"," - ","D","-","77.2","6.5","13.7","20.2","4.7","18.5","5.9","0.6","1.6","2.2","125.6","17.2","0","112.5","61.4"
"Alexander Romanov","Islanders","-161.69"," - ","D","-","75","5","18","23.1","13.4","26.5","5","0","0","0","115.8","22.3","0","173.8","175"
"Matias Maccelli","Maple Leafs","-162.8"," - ","LW","-","72","13.9","32.6","46.5","2.3","11.5","12.9","1","9.1","10.1","118.4","16","5.8","17.1","17.9"
"Trevor Zegras","Flyers","-162.85"," - ","C","-","71","15.7","28","43.7","-5.6","48.1","13.7","2","5.3","7.3","137.4","17.1","121.9","30.2","50"
"Mackie Samoskevich","Panthers","-163.89"," - ","RW","-","72","15.8","22.3","38.1","-2.3","12","11.6","4.2","8.4","12.6","147.3","15.2","0","36.6","153.1"
"Jimmy Snuggerud","Blues","-164.44"," - ","RW","-","80.4","16.4","27.4","43.9","2.7","58.3","11","5.5","5.5","11","120.8","15.6","0","38.4","65.9"
"Jiri Kulich","Sabres","-164.51"," - ","C","-","71.3","19.1","14.2","33.3","-1.3","20.7","15.3","3.8","3.2","7","172.5","16.7","324.5","46","52.4"
"Charlie Coyle","Blue Jackets","-164.82"," - ","C","-","82","18.9","24.8","43.6","0","28.8","14.3","3.6","3.2","6.8","126.1","17","513.6","58.6","105.3"
"Jordan Spence","Senators","-165.02"," - ","D","-","75.3","3.2","23.6","26.8","16.3","14.5","2.8","0.4","5","5.4","85.6","16.4","0","68.9","76.1"
"Jake Neighbours","Blues","-165.43"," - ","LW","-","78.2","22.4","17.5","39.9","-4.6","42.1","16.2","6.2","5.5","11.7","126.2","15.7","7.9","49.8","153.8"
"Jacob Trouba","Ducks","-165.78"," - ","D","-","77.3","3","16.9","19.8","-2.1","69","2.4","0.4","0.9","1.3","135.2","20.8","0","196.8","185.3"
"Tommy Novak","Penguins","-165.94"," - ","C","-","73.5","19.4","22.5","41.9","-2.2","7.6","15.2","4.2","6.5","10.7","124.3","14","185.4","34","7.9"
"Josh Doan","Sabres","-168.26"," - ","RW","-","76","16.4","21.8","38.2","1.4","11.9","12.3","4.1","2.7","6.8","151.5","14.8","54.6","28.7","71"
"Nino Niederreiter","Jets","-168.92"," - ","RW","-","78","17.9","17.5","35.4","4.6","25.9","14.4","3.5","4.2","7.7","156.1","14.9","19","36.9","136.8"
