"Player","Team","VAR","ADP","Pos","Site Pos","GP","G","A","PTS","(+/-)","PIM","EV","PPG","PPA","PPP","SOG","ATOI","FOW","BLK","HIT"
"Ian Cole","Utah","-250.59"," - ","D","-","78.3","1.6","12.7","14.3","4.3","65.3","1.6","0","0","0","68.3","19","0","154.3","95.3"
"Luke Schenn","Jets","-252.86"," - ","D","-","68.8","1.7","8.8","10.4","-0.3","55.3","1.7","0","0","0","85","17.5","0","98.6","292.5"
"Daniil Gushchin","Avalanche","-253.45"," - ","F","-","74.8","12.5","14.4","26.9","-4.2","8.3","Invalid Number","3.1","4.8","7.9","116.4","13.2","4.2","33.2","12.5"
"Lawson Crouse","Utah","-253.57"," - ","LW","-","76","14.9","10.9","25.8","-2","31.5","11.7","3.2","1.1","4.3","122.6","13.8","20.6","42.7","158.2"
"Cole Sillinger","Blue Jackets","-254.51"," - ","C","-","71.5","10","18.1","28.1","-5.3","35.4","7.8","1.6","0.7","2.3","128.5","15.2","341.4","46.9","91.3"
"Nikita Nesterenko","Ducks","-256.8"," - ","C","-","73","13.7","14.8","28.5","-4","7.3","12.3","1.4","1.5","2.9","113.9","11.3","0","18.2","134.4"
"Jeremy Lauzon","Knights","-257.23"," - ","D","-","70.7","3.4","6.5","10","-6.9","86.1","3.4","0","0","0","82.7","18.3","0","89.8","320.7"
"Jonas Siegenthaler","Devils","-257.98"," - ","D","-","65.5","2.2","9.9","12.1","7.7","39.2","2","0.2","0","0.2","66.2","19.5","0","84.6","89.7"
"Alex Iafallo","Jets","-258.13"," - ","LW","-","75.5","12.1","15.3","27.4","7.9","11.7","7.7","4.4","2.8","7.2","104.7","13.3","8.8","47","40.4"
"Jacob Bernard-Docker","Red Wings","-258.84"," - ","D","-","71.1","3.7","10.3","13.9","-0.2","29.7","3.7","0","0","0","58.3","15.6","0","127.1","62.7"
"Maxim Tsyplakov","Islanders","-259.2"," - ","RW","-","77.1","10.1","21.9","32","0.9","39.1","9.1","1","1.7","2.7","101.4","13.1","8.7","35","122.4"
"Tyler Kleven","Senators","-259.21"," - ","D","-","75.6","3.6","6.7","10.3","-10.9","26.3","3.6","0","0.9","0.9","78.5","15.1","0","95.3","102"
"Matt Dumba","Penguins","-259.46"," - ","D","-","72.7","2.6","9","11.6","-9.9","74.2","2.6","0","0.5","0.5","75","17.8","0","85.5","120.7"
"Emil Lilleberg","Lightning","-261.5"," - ","D","-","77.7","0.8","16.5","17.3","-8.8","89.1","0.8","0","0","0","51.9","15.6","0","72.4","143"
"Connor Murphy","Blackhawks","-262.45"," - ","D","-","63","2.6","10.3","12.9","-7.9","45.8","2.3","0","0","0","65.9","18.1","0","126.8","112.1"
"Mavrik Bourque","Stars","-262.99"," - ","C","-","78","13.4","16.2","29.6","3.5","9.3","12.2","1.2","2.3","3.5","97.3","13.8","186.5","42.9","53.3"
"Scott Mayfield","Islanders","-266.05"," - ","D","-","69","2.7","8.2","10.9","8.6","41.6","2.2","0","0","0","61.4","17","0","119.7","90.5"
"Kirby Dach","Canadiens","-266.64"," - ","C","-","61.7","11.6","16.9","28.5","-9","41.2","8.6","3","7.6","10.6","93.3","15.7","92.2","36","80.1"
"Albert Johansson","Red Wings","-266.69"," - ","D","-","73.4","3.9","7.9","11.8","-7.2","39.3","3.9","0","0","0","62.8","17.8","0","108.6","91.6"
"Eetu Luostarinen","Panthers","-267.25"," - ","LW","-","80.5","11.4","17","28.4","4.9","27.4","9.9","1","1","2","104.9","15.7","78.8","55.9","144.4"
"Michael Eyssimont","Bruins","-267.62"," - ","LW","-","79","9.5","10.4","19.9","1.7","81","8.8","0.7","0.7","1.4","149.6","11.3","7.5","24.1","125"
"Frederick Gaudreau","Kraken","-267.71"," - ","C","-","76.8","12.8","14.7","27.5","-3","8.8","8.8","3.4","1.6","5","103","14","403.1","48.3","35.3"
"Gage Goncalves","Lightning","-268.51"," - ","C","-","74","12.1","18.2","30.3","2.7","17.3","10.6","1.5","1.5","3","92.5","16.1","4.5","30.3","110.7"
"Ethan Del Mastro","Blackhawks","-269.33"," - ","D","-","70","2.9","10.8","13.6","-4","16.2","2.9","0.3","0","0.3","51.2","18.3","0","56.6","113.1"
"Logan Stanley","Jets","-269.7"," - ","D","-","63","1.5","10.8","12.3","8.4","81.8","1.5","0","0","0","53.9","15.5","0","81.7","100"
"Cody Glass","Devils","-269.94"," - ","C","-","68.5","9.1","17.2","26.3","-2.3","22.1","7.2","1.9","1.7","3.6","116.8","14.5","268","37.5","58.3"
"Michael Amadio","Senators","-270"," - ","RW","-","70.7","13.2","14.5","27.7","3.9","16.7","11.5","1.7","0.8","2.5","100.4","14.1","53.5","38.7","81.6"
"Adam Klapka","Flames","-270.21"," - ","RW","-","74","15.6","9.6","25.2","-2.4","69.3","15.6","0","0","0","115","11","14.4","67.1","309.2"
"Nick Bjugstad","Blues","-270.74"," - ","C","-","73.3","12","12.8","24.9","2.1","28.2","10.5","1.1","1.1","2.2","116.8","12.3","338.6","31.5","102.5"
"Martin Pospisil","Flames","-271.84"," - ","RW","-","75","6.3","19.8","26.1","3.9","98.3","5.6","0.7","1.8","2.5","120.8","13.8","53.5","25.4","287.1"
"Corey Perry","Kings","-272.28"," - ","RW","-","74.5","15","10.7","25.7","2.5","60.4","11.1","3.9","2.8","6.7","94.2","11.5","8.2","18.6","39.5"
"Anthony Beauvillier","Capitals","-273.21"," - ","LW","-","74.5","11.2","11.6","22.7","-1.5","12.6","9.6","1.1","1.2","2.3","126.5","12.4","17","30.9","90.9"
"Michael Rasmussen","Red Wings","-273.52"," - ","LW","-","76","12","15.6","27.6","-1.6","36.5","10.7","1.1","1.2","2.3","103.1","14.3","105.7","64.1","138.3"
"Brett Howden","Knights","-274.31"," - ","LW","-","74","15","13.2","28.2","2.9","41.8","13.9","0","0","0","95.5","13.8","208.1","49.3","106.4"
"Christian Dvorak","Flyers","-274.39"," - ","C","-","72","12.1","17.7","29.9","-3.7","12.2","10.8","1.1","1.2","2.3","93.3","15.9","524.8","63.4","34.8"
"Elias Pettersson (D)","Canucks","-275.63"," - ","D","-","75.2","1.7","8.7","10.4","-6.7","57","1.7","0","0","0","63.7","16","0","53.6","130.7"
"Drew O&#x27;Connor","Canucks","-275.72"," - ","LW","-","76.3","10.9","13.8","24.7","-2","25.2","9.6","0.5","0.5","1","119.1","14","33.5","48.8","68.8"
"Ondrej Palat","Devils","-276.33"," - ","LW","-","73.5","12.3","15.4","27.7","-2.2","18.7","10.3","1.5","2.6","4.1","95.2","13.8","3.2","44.7","102.4"
"Mattias Samuelsson","Sabres","-279.64"," - ","D","-","52.7","2.5","7.8","10.3","5","21.4","2.5","0","0.5","0.5","50.3","19.3","0","82.2","98.4"
"Mason Appleton","Red Wings","-279.76"," - ","RW","-","73.7","10.6","15.4","26","-2.3","21.3","9.5","0.8","0.5","1.3","109","14.8","8.4","30.4","82.4"
"Aatu Raty","Canucks","-279.8"," - ","C","-","74","14","10.8","24.8","-1.2","38.7","14","0","2.3","2.3","103.9","13.7","512","24.1","214.7"
"Josh Anderson","Canadiens","-280.24"," - ","RW","-","74.3","12.8","10.4","23.2","-3.7","73.8","11.5","0.7","0.6","1.3","116.8","14.3","20.5","35.7","150.6"
"Ilya Lyubushkin","Stars","-280.39"," - ","D","-","74.8","0.9","11.4","12.3","-1.4","41.8","0.7","0","0","0","48.8","17.5","0","140.7","118.3"
"Dakota Joshua","Maple Leafs","-280.71"," - ","LW","-","76.7","14.2","13.6","27.8","2","65.6","12.1","1.3","0.7","2","88","14.4","35.5","43.3","287.4"
"Brayden Pachal","Flames","-281.05"," - ","D","-","62.9","2.3","7.1","9.5","2.1","68.6","2.3","0","0","0","55.9","14.2","0","72.5","139.7"
"Jonatan Berggren","Red Wings","-281.07"," - ","RW","-","71.3","13.3","13.2","26.5","-6.4","14.5","9.9","3.4","2.4","5.8","91.6","13.3","4.2","20","34"
"Collin Graf","Sharks","-281.14"," - ","RW","-","73","9.1","18.9","28","-3.7","17.7","5.5","1.8","7.1","8.9","85.8","16","7.3","40.2","45.7"
"Jayden Struble","Canadiens","-283.28"," - ","D","-","56","2.3","9.1","11.4","0","52.5","2.3","0","0","0","45.7","15","0","52.1","119.8"
"Joel Hanley","Flames","-283.58"," - ","D","-","62.9","2.1","8.2","10.3","6.3","36.3","2.1","0","0","0","47.2","18.6","0","103.1","75.1"
"Jake Bean","Flames","-284.82"," - ","D","-","56.6","2.3","5.9","8.3","-3.3","14.5","2.3","0","0.2","0.2","59.6","15.1","0","57.1","21.2"
"Andrew Copp","Red Wings","-284.87"," - ","C","-","72.3","10.5","18.3","28.8","-0.9","16.4","9","0.5","1.8","2.3","88.1","14.7","435.1","39.9","20.3"
"Philipp Kurashev","Sharks","-285.28"," - ","RW","-","70.7","10.5","17.3","27.8","-8.2","16.3","8.2","2.3","4.7","7","85.7","14","100.8","27.9","28.4"
"Adam Lowry","Jets","-285.45"," - ","C","-","63","11.4","16.5","28","6.1","33","10.7","0","0.8","0.8","88.9","15.5","508.5","47","126.5"
"Jonny Brodzinski","Rangers","-285.67"," - ","C","-","68.5","12.2","11.9","24.1","2","9.1","11.8","0.5","0.5","1","105.6","11.7","153.5","26.8","39.3"
"Arber Xhekaj","Canadiens","-287.4"," - ","D","-","54.1","2.1","5.5","7.6","-5.5","92.3","1.8","0.3","0.2","0.5","60.4","14.5","0","49.5","142"
"Derek Forbort","Canucks","-287.65"," - ","D","-","60","2.3","8.6","10.9","1.5","39.3","1.9","0","0.6","0.6","40.9","17","0","88.9","89.8"
"Conor Geekie","Lightning","-289.14"," - ","C","-","76","13.2","10.2","23.4","-1.6","23.4","11.6","1.7","1.7","3.4","99.3","13.6","117.9","40.4","156.7"
"Vasily Podkolzin","Oilers","-289.17"," - ","RW","-","77.5","9.9","14.2","24.1","1","43.6","9.9","0","0","0","109.6","13.8","14.3","46.4","212.2"
"Hendrix Lapierre","Capitals","-290.73"," - ","C","-","72.5","8.6","23.3","32","-1","10.7","8.6","0","1.8","1.8","73.2","12.5","150.5","47.6","39.9"
"Fedor Svechkov","Predators","-290.81"," - ","C","-","65","11.4","12.9","24.3","-6.1","17.5","8.6","2.9","4.3","7.2","91.5","14.8","175.9","34.3","45.8"
"Simon Benoit","Maple Leafs","-291.04"," - ","D","-","73.3","1.3","6.7","8","2.9","55.5","1.3","0","0","0","52.8","16.5","0","102.9","209.3"
"Haydn Fleury","Jets","-291.65"," - ","D","-","54","0.6","8.6","9.1","-10.7","20.5","0.6","0","0","0","55.9","16","0","71.9","67.8"
"Justin Brazeau","Penguins","-294.88"," - ","RW","-","77.3","12.3","10.5","22.8","-2.6","16.4","7.7","4.6","0.8","5.4","93.7","11.5","4.3","39.3","129.6"
"Eric Robinson","Hurricanes","-294.89"," - ","LW","-","73.7","10.7","14.2","24.9","1.2","12.9","10.7","0","0","0","97.8","12.3","5.3","17.7","120.6"
"Paul Cotter","Devils","-296.31"," - ","LW","-","77.5","13.4","10.3","23.7","-6.1","41.1","12.7","0.7","0.7","1.4","96.5","13.1","32.8","29.8","240.7"
"Marcus Foligno","Wild","-296.38"," - ","LW","-","72","12.1","14.6","26.7","3","77.9","12.1","0","0.6","0.6","82.7","14.5","7.4","46","238.5"
"Jack Drury","Avalanche","-297.75"," - ","C","-","73","7.9","13.9","21.8","1.3","27.5","6.6","1.3","2.6","3.9","105.9","13","393.6","44.4","39.1"
"Owen Pickering","Penguins","-297.99"," - ","D","-","72","1.6","7.2","8.8","-7.8","18.7","1.6","0","0","0","46.8","16.1","0","59.3","40.6"
"Jason Dickinson","Blackhawks","-298.39"," - ","C","-","74","12.4","12.7","25.2","-4.8","38.7","11.6","0.8","0","0.8","90.8","15.5","500.5","64.6","118"
"Miles Wood","Blue Jackets","-299.37"," - ","LW","-","68.3","8","11","19","-2.2","68.3","7.2","0.4","0.2","0.6","125.6","11.4","6.5","21.1","84.4"
"Jack McBain","Utah","-299.62"," - ","C","-","77","11.3","15.4","26.8","2.6","67.2","10.8","0.5","1","1.5","79.1","13.6","277.6","47","268.4"
"Connor Dewar","Penguins","-299.81"," - ","C","-","77.5","10.4","12.1","22.5","-3.9","39.2","9","0","0","0","106.5","14.5","200.9","60.9","198.2"
"Lars Eller","Senators","-301.47"," - ","C","-","79.5","9.8","11.3","21.1","-1","30.8","8.3","1.1","0.7","1.8","106.6","12.5","379.9","35.8","52.5"
"Kevin Stenlund","Utah","-303.31"," - ","C","-","78.7","12.7","9.7","22.4","-3.1","46.6","11.1","0","0","0","97.5","14.4","547.7","58.8","62.2"
"Calle Jarnkrok","Maple Leafs","-303.52"," - ","C","-","63.7","10.8","14.7","25.6","3.3","15.2","8.5","1.5","1","2.5","78.6","13.2","43.5","17.6","50.6"
"Connor Brown","Devils","-305.88"," - ","RW","-","72.3","8.6","12.3","21","0.9","9.3","8.1","0","0","0","108.2","13.5","15.2","29.3","22.9"
"Joel Armia","Kings","-306.76"," - ","RW","-","69","10.7","11.2","21.9","-0.4","20","8.7","0","1.5","1.5","95.5","13","3.2","30.5","57.7"
"Justin Holl","Red Wings","-307.05"," - ","D","-","65","1.3","7.1","8.4","1.7","20.9","1.3","0","0","0","33.9","14.8","0","70.8","60.3"
"Colton Sissons","Knights","-307.56"," - ","C","-","78.5","9.3","14.8","24.2","-3.9","23.9","7.5","0.9","1.9","2.8","87","13.4","423.8","55.9","109.5"
"Oliver Moore","Blackhawks","-308.48"," - ","C","-","68.1","8.6","18.7","27.3","-3.8","30.3","6.9","1.7","0","1.7","75.7","13.6","83.3","15.1","45.4"
"Jake Evans","Canadiens","-308.94"," - ","C","-","72.5","8.6","20","28.6","-0.3","16.7","6.7","0.2","0","0.2","70.8","15.6","514.5","54.5","88.8"
"Ryan Shea","Penguins","-310.06"," - ","D","-","75.2","2.2","4.1","6.3","-11.3","24.8","2.2","0","1.4","1.4","42","16.8","0","92.2","50"
"Jesper Boqvist","Panthers","-310.55"," - ","C","-","74","11.5","11.9","23.3","1.9","11.7","10.9","0","0","0","84.9","13.3","75.2","22.5","150.2"
"Justin Danforth","Sabres","-310.62"," - ","RW","-","66","9.5","13.8","23.3","-3.9","21.5","8.9","0","0.6","0.6","91.6","14.3","266.5","48.3","120.2"
"Trent Frederic","Oilers","-311.36"," - ","LW","-","70","11","11.2","22.2","3.2","46.7","10","1","0.9","1.9","85.5","11.4","80","32","138.8"
"Mathieu Olivier","Blue Jackets","-312.15"," - ","RW","-","74","11.7","11.2","23","-3.5","108.5","10.9","0","0","0","87.9","12.8","8.8","61.9","241.2"
"Jake Christiansen","Blue Jackets","-314.54"," - ","D","-","45","0.5","5.3","5.9","0.2","7.5","0.5","0","0.2","0.2","39.3","13.3","0","45.1","34.9"
"Zachary L&#x27;Heureux","Predators","-314.72"," - ","LW","-","70.3","8.2","13.1","21.3","-1.8","60.1","8.2","0","1.3","1.3","96.1","13.1","0","30.8","243.9"
"Ryan Poehling","Ducks","-315.84"," - ","C","-","72.5","9.8","14.8","24.6","-2.7","10.4","7.4","1.2","0.7","1.9","75.8","12","336.2","71.3","39.3"
"Taylor Raddysh","Rangers","-315.84"," - ","RW","-","77","7.5","13.8","21.4","-6.3","16.4","5.9","1.4","2.2","3.6","93.8","12.4","10.7","24.7","61.7"
"Ivan Ivan","Avalanche","-316.41"," - ","C","-","76","12.1","7.2","19.3","-3","19.3","7.2","4.8","2.4","7.2","82","12.7","135","21.7","28.9"
"Alex Turcotte","Kings","-316.42"," - ","LW","-","70.8","8.8","14.4","23.2","1.7","20.8","7.9","0.9","0.8","1.7","81.6","11.8","71","31.7","46.8"
"Brandon Tanev","Utah","-317.33"," - ","LW","-","75.7","9.8","11.9","21.6","-0.8","31.1","9.6","0","0","0","90.2","13.3","6.7","80.2","159.1"
"Nic Dowd","Capitals","-318.82"," - ","C","-","68.8","12.6","11.4","24","1.9","45.7","11.7","0","0","0","70.6","15.2","509.3","71.2","120.9"
"Fraser Minten","Bruins","-319.01"," - ","C","-","71.5","10","9.6","19.6","-4.2","6.8","8.3","1.7","2.4","4.1","90","15","319","36.9","174.6"
"Sam Steel","Stars","-322.67"," - ","C","-","72.3","7.2","16","23.3","-0.5","26.4","6","0","0.5","0.5","82.1","13.8","181.1","24.2","53"
"Garnet Hathaway","Flyers","-322.92"," - ","RW","-","77.3","9.7","10.5","20.2","0.6","84.9","8.4","0","0","0","90.1","11.9","11.2","68.2","285.2"
"Keegan Kolesar","Knights","-322.97"," - ","RW","-","78","9.7","13.6","23.4","0","53","9.4","0","0","0","76.6","12.1","6.2","41.2","250.5"
"Peyton Krebs","Sabres","-323.02"," - ","C","-","78.3","7.8","15.9","23.7","-0.1","59.4","6.4","0.7","0.4","1.1","76.6","13.4","294","26.5","116.3"
"Teddy Blueger","Canucks","-323.45"," - ","C","-","69.5","6.1","16.9","23","-1.8","32.2","5.6","0","0","0","86.4","14.1","408.9","40.1","89.3"
"Alexey Toropchenko","Blues","-323.46"," - ","RW","-","78.7","8.3","10.9","19.2","-0.2","24.4","7.5","0","0","0","97.5","12.5","2.4","52.1","187.2"
"Blake Lizotte","Penguins","-325.31"," - ","C","-","68","10.5","12.1","22.7","-2.3","32.7","8.7","0.5","0","0.5","75.5","12.7","235.6","27","73.4"
"Noah Juulsen","Flyers","-331.29"," - ","D","-","55.4","0.5","3","3.5","-9.6","29.2","0.5","0","0","0","36.8","16.3","0","93.5","173.3"
"Max Sasson","Canucks","-333.5"," - ","C","-","71.8","8.3","11","19.3","0.7","31.5","8.3","0","0","0","85.4","11.5","129.4","35.8","49.6"
"Yakov Trenin","Wild","-333.86"," - ","C","-","77.3","8.8","7.2","16","1.4","44.9","7.6","0","0.3","0.3","97.5","12.5","41.6","29.4","200.2"
"Casey Cizikas","Islanders","-334.86"," - ","C","-","76.8","7.4","11.2","18.6","-3.4","35.2","6.6","0","0.8","0.8","89.5","13","348.9","61.5","167.8"
"Oskar Sundqvist","Blues","-335.87"," - ","C","-","68.3","6.7","14.9","21.6","-2.8","31","2.9","3.5","3","6.5","63.6","13.2","212","46.4","75.9"
"Brandon Duhaime","Capitals","-336.59"," - ","RW","-","73.3","8.2","9.3","17.4","0.5","83.6","7.6","0","0","0","90.3","13.4","11.6","49.8","185.6"
"Mitchell Chaffee","Lightning","-336.67"," - ","RW","-","70.3","11.9","6.6","18.5","-0.7","19.5","8.7","3.2","0","3.2","71.1","12","3.3","28.6","159"
"Morgan Barron","Jets","-337.01"," - ","C","-","74.7","8.5","7.7","16.2","3.8","19.9","7.4","0","0.5","0.5","92","10.4","61.5","38.8","114.9"
"Justin Sourdif","Capitals","-338.81"," - ","RW","-","58.5","7.8","11.5","19.3","0.9","40.2","7.8","0","0","0","80.5","12.4","0","40.2","100.6"
"Emil Heineman","Islanders","-339.53"," - ","LW","-","62","11.4","7.8","19.2","-1","20","11.4","0","0","0","73.2","11.8","1","24.4","175.7"
"Logan O&#x27;Connor","Avalanche","-339.93"," - ","RW","-","61","9","10.4","19.4","1.7","25.6","7.9","0","0","0","75.7","14.4","19.4","38.3","62"
"Kasperi Kapanen","Oilers","-341.11"," - ","RW","-","71.3","7.3","11.9","19.2","-6.7","15","6.3","0.5","0.5","1","81.5","12","27.7","17.8","78.4"
"Parker Kelly","Avalanche","-343.14"," - ","C","-","78","7","9.6","16.6","-2.4","32","5.8","0","0","0","91.3","12.2","161.9","64.3","172.6"
"Pontus Holmberg","Lightning","-346.11"," - ","RW","-","69.3","7.7","12.4","20.1","3.2","26.2","6.9","0.2","0.6","0.8","66","11.8","135.5","49.5","50.8"
"Tanner Jeannot","Bruins","-346.19"," - ","LW","-","69.8","8.3","9","17.3","-2.7","100.5","7.9","0.4","0.4","0.8","80.3","13.5","16","42.1","272.2"
"Juuso Parssinen","Rangers","-346.32"," - ","C","-","71.8","8.7","12.8","21.5","-3","21.1","7.7","1.1","2.7","3.8","54.1","10.5","130.4","29.4","100.7"
"Joel Kiviranta","Avalanche","-347.29"," - ","LW","-","68.3","10.8","5.8","16.6","2.9","21.8","10.1","0","0","0","75.3","12.5","13.1","33.3","106.3"
"Michael McCarron","Predators","-348.68"," - ","C","-","72","7.5","9","16.5","-5.5","97.6","7.5","0","0","0","86.2","13.3","420.9","57","149.1"
"Nick Cousins","Senators","-350.99"," - ","LW","-","66.5","6.5","9.8","16.3","-0.2","45.5","6.5","0","0","0","83.8","10.4","17.8","27.9","94.9"
"Mathieu Joseph","Blues","-351.36"," - ","RW","-","64.3","5.3","13.4","18.7","-1.5","32.1","4.1","0.2","0.3","0.5","75","11.9","21","33.1","94.5"
"Nico Sturm","Wild","-352.23"," - ","C","-","68.3","8","8.6","16.6","1.7","18.9","6.9","0","0","0","76.7","12.5","389.5","33.4","99.1"
"Sean Kuraly","Bruins","-352.45"," - ","C","-","73","7.1","9.1","16.2","-3.9","40.8","6.8","0.2","0","0.2","82.9","11.8","314.7","37.8","149.7"
"Cole Koepke","Jets","-353.31"," - ","LW","-","68","8.7","6.9","15.6","-0.3","14.8","8.7","0","0","0","79.5","11.3","0","22.3","169.9"
"Jordan Greenway","Sabres","-354.11"," - ","LW","-","63.7","6.4","10.1","16.4","0.2","52.4","6","0.4","0.7","1.1","77","13.4","10.2","45.3","124"
"Cole Smith","Predators","-354.84"," - ","LW","-","73.3","5.6","10.9","16.5","-3.2","60.8","5.3","0","0","0","82.3","13.6","6.1","28.9","192.4"
"Steven Lorentz","Maple Leafs","-355.53"," - ","LW","-","75.7","7","8.9","15.9","3","12.1","6","0.2","0","0.2","77.2","10.6","85.6","38.6","166.5"
"Radek Faksa","Stars","-357.76"," - ","C","-","75.5","6.7","10.4","17","0.3","28.2","5.9","0","0","0","72","12.5","359.4","49.6","104.3"
"Rodrigo Abols","Flyers","-361.65"," - ","C","-","69","6.3","9.5","15.8","-7.9","12.5","6.3","0","0","0","78.9","9.3","208.3","37.9","78.9"
"William Carrier","Hurricanes","-363.18"," - ","LW","-","50.3","7.7","6.6","14.3","2.1","21.1","7.7","0","0","0","75.2","11.7","6.2","16.5","148.8"
"Tye Kartye","Kraken","-364.21"," - ","LW","-","71.7","7.7","7.5","15.1","-4.1","38.6","7.1","0","0","0","73.5","9.8","17.7","26.9","187.1"
"Oskar Bäck","Stars","-364.37"," - ","C","-","74","4.7","16.3","21","0.6","9.4","4.7","0","0","0","51.6","13.5","105.5","41","32.8"
"Sam Carrick","Rangers","-367.09"," - ","C","-","68.3","6.1","8.8","14.9","-1.9","70.2","4.8","0.3","0","0.3","73.3","11.7","322.8","33.3","127.1"
"Oliver Kapanen","Canadiens","-370.52"," - ","C","-","72.4","6.7","8.2","14.9","-2.1","8","6.1","0.7","0.8","1.5","65.6","11.1","98.4","32.8","4.1"
"Landon Slaggert","Blackhawks","-374.15"," - ","LW","-","72","4.5","10.1","14.6","-5.3","43","4.5","0","0","0","72.9","12.3","0","28.6","60.2"
"Mattias Janmark","Oilers","-377.25"," - ","C","-","71","3.9","12.8","16.7","-0.7","30","3.4","0","0","0","58.9","13.3","61.1","26.5","42.1"
"Barclay Goodrow","Sharks","-378.86"," - ","C","-","79.5","5.8","7.7","13.4","-11.1","72.9","4.8","0.2","0.2","0.4","72","13.4","210.8","67.6","151.2"
"Sam Lafferty","Blackhawks","-379.46"," - ","C","-","69.7","7.4","6.9","14.3","-3.7","27.6","6.5","0","0","0","61","10","117.9","21.4","114.2"
"Colin Blackwell","Stars","-382.17"," - ","C","-","54.5","5.5","7.6","13.1","-0.7","11.4","4.3","0.3","0.5","0.8","64.1","11.6","82.4","19.3","60.4"
"Isac Lundestrom","Blue Jackets","-384.26"," - ","C","-","73.3","4.7","10.1","14.8","-4.7","6.6","4.2","0","0.9","0.9","58","13.5","357.6","53.8","47.6"
"Ryan Lomberg","Flames","-384.47"," - ","LW","-","79","4.8","6.5","11.4","-1.4","64.4","4.5","0.3","0","0.3","72.6","8.7","6.3","18.7","132.7"
"Ty Dellandrea","Sharks","-392.76"," - ","C","-","73","3","10.1","13.1","-9.4","51.4","3","0","0","0","64.5","11.8","168.3","37.9","136.9"
"John Beecher","Bruins","-396.85"," - ","C","-","73.5","5.7","7.4","13.1","-4.8","31.2","5.7","0","0","0","51.4","12.6","344.7","69.1","118.3"
"Rasmus Kupari","Jets","-400.03"," - ","C","-","69.7","4.3","5.6","9.9","-2.1","16.2","4.3","0","0","0","63.7","10.3","277","27.5","85.8"
"Adam Edstrom","Rangers","-400.4"," - ","C","-","54.3","7.1","4.4","11.6","-2","28.8","7.1","0","0","0","49.9","11","0","39.4","127.7"
"Tomas Nosek","Panthers","-404.63"," - ","LW","-","66.7","2.7","8.3","11","0.1","17.7","1.8","0.6","0","0.6","54.7","9.8","251","27.1","73.4"
"Nicolas Deslauriers","Flyers","-428.53"," - ","LW","-","67.5","3.1","3.3","6.3","-5.6","77.4","2.8","0","0","0","52.2","8","3.4","19.4","202.3"
"Zack Ostapchuk","Sharks","-444.68"," - ","C","-","71","2.5","3.5","6","-2.6","57.1","2.5","0","0","0","35.7","9.8","170.5","31.1","141.7"